Year,Yearly ranking ,Name,"Net worth?(USD)
()",Age,Nationality,Source(s) of wealth,gender,city of residence,business-category,position,self-made
2023,1,Bernard Arnault ,211.00 ,74,France,LVMH,Male,Paris,Fashion & Retail,Chairman and CEO,FALSE
2023,2,Elon Musk,180,51,United States,"Tesla, SpaceX",Male,Austin,Automotive,CEO,TRUE
2023,3,Jeff Bezos,114,59,United States,Amazon,Male,Medina,Technology,Chairman and Founder,TRUE
2023,4,Larry Ellison,107,78,United States,Oracle,Male,Lanai,Technology,CTO and Founder,TRUE
2023,5,Warren Buffett,106,92,United States,Berkshire Hathaway,Male,Omaha,Finance & Investments,CEO,TRUE
2023,6,Bill Gates,104,67,United States,Microsoft,Male,Medina,Technology,Cochair,TRUE
2023,7,Michael Bloomberg,94.5,81,United States,Bloomberg LP,Male,New York,Media & Entertainment,CEO,TRUE
2023,8,Carlos Slim Helu ,93,83,Mexico,Telecom,Male,Mexico City,Telecom,Honorary Chairman,TRUE
2023,9,Mukesh Ambani,83.4,65,India,Diversified,Male,Mumbai,Diversified,Founder and Chairman,FALSE
2023,10,Steve Ballmer,80.70 ,67,United States,Microsoft,Male,Hunts Point,Technology,Owner,TRUE
2022,1,Elon Musk,219?,50,?United States,"Tesla,?SpaceX",Male,Austin,Automotive,CEO,TRUE
2022,2,Jeff Bezos,177?,58,?United States,Amazon,Male,Seattle,Technology,Chairman and Founder,TRUE
2022,3,Bernard Arnault?,158?,73,?France,LVMH,Male,Paris,Fashion & Retail,Chairman and CEO,FALSE
2022,4,Bill Gates,129?,66,?United States,Microsoft,Male,Medina,Technology,Cofounder,TRUE
2022,5,Warren Buffett,118?,91,?United States,Berkshire Hathaway,Male,Omaha,Finance & Investments,CEO,TRUE
2022,6,Larry Page,111?,49,?United States,Alphabet Inc.,Male,Palo Alto,Technology,Cofounder and board member,TRUE
2022,7,Sergey Brin,107?,48,?United States,Alphabet Inc.,Male,Los Altos,Technology,Cofounder and board member,TRUE
2022,8,Larry Ellison,106?,77,?United States,Oracle Corporation,Male,Lanai,Technology,CTO and Founder,TRUE
2022,9,Steve Ballmer,91.4?,66,?United States,Microsoft,Male,Hunts Point,Technology,Owner,TRUE
2022,10,Mukesh Ambani,90.7?,64,?India,Reliance Industries,Male,Mumbai,Diversified,Founder and Chairman,FALSE
2021,1,Jeff Bezos,177?,57,?United States,Amazon,Male,Seattle,Technology,Entrepreneur,TRUE
2021,2,Elon Musk,151?,49,?United States,"Tesla,?SpaceX",Male,Austin,Automotive,CEO and Chairman,TRUE
2021,3,Bernard Arnault?,150?,72,?France,LVMH,Male,Paris,Fashion & Retail,Chairman and CEO,FALSE
2021,4,Bill Gates,124?,65,?United States,Microsoft,Male,Medina,Technology,Cofounder,TRUE
2021,5,Mark Zuckerberg,97?,36,?United States,Meta Platforms,Male,Palo Alto,Technology,Entrepreneur,TRUE
2021,6,Warren Buffett,96?,90,?United States,Berkshire Hathaway,Male,Omaha,Finance & Investments,CEO,TRUE
2021,7,Larry Ellison,93?,76,?United States,Oracle Corporation,Male,Lanai,Technology,CTO and Founder,TRUE
2021,8,Larry Page,91.5?,48,?United States,Alphabet Inc.,Male,Palo Alto,Technology,Entrepreneur,TRUE
2021,9,Sergey Brin,89?,47,?United States,Alphabet Inc.,Male,Los Altos,Technology,Cofounder and board member,TRUE
2021,10,Mukesh Ambani,84.5?,63,?India,Reliance Industries,Male,Mumbai,Diversified,Founder and Chairman,FALSE
2020,1,Jeff Bezos,113?,56,?United States,Amazon,Male,Seattle,Technology,Entrepreneur,TRUE
2020,2,Bill Gates,98?,64,?United States,Microsoft,Male,Medina,Technology,Cofounder,TRUE
2020,3,Bernard Arnault?,76?,71,?France,LVMH,Male,Paris,Fashion & Retail,Chairman and CEO,FALSE
2020,4,Warren Buffett,67.5?,89,?United States,Berkshire Hathaway,Male,Omaha,Finance & Investments,CEO,TRUE
2020,5,Larry Ellison,59?,75,?United States,Oracle Corporation,Male,Woodside,Technology,CTO and Founder,TRUE
2020,6,Amancio Ortega,55.1?,84,?Spain,"Inditex,?Zara",Male,La Coruna,Fashion & Retail,,TRUE
2020,7,Mark Zuckerberg,54.7?,35,?United States,"Facebook, Inc.",Male,Palo Alto,Technology,Entrepreneur,TRUE
2020,8,Jim Walton,54.6?,71,?United States,Walmart,Male,Bentonville,Fashion & Retail,Chairman and CEO,FALSE
2020,9,Alice Walton,54.4?,70,?United States,Walmart,Female,Fort Worth,Fashion & Retail,Philanthropist,FALSE
2020,10,S. Robson Walton,54.1?,77,?United States,Walmart,Male,Bentonville,Fashion & Retail,Director,FALSE
2019,1,Jeff Bezos,131?,55,?United States,Amazon,Male,Seattle,Technology,Entrepreneur,TRUE
2019,2,Bill Gates,96.5?,63,?United States,Microsoft,Male,Medina,Technology,Cofounder,TRUE
2019,3,Warren Buffett,82.5?,88,?United States,Berkshire Hathaway,Male,Omaha,Finance & Investments,CEO,TRUE
2019,4,Bernard Arnault,76?,70,?France,LVMH,Male,Paris,Fashion & Retail,Chairman and CEO,FALSE
2019,5,Carlos Slim,64?,79,?Mexico,"Am¨¦rica M¨®vil,?Grupo Carso",Male,Mexico City,Telecom,Honorary Chairman,TRUE
2019,6,Amancio Ortega,62.7?,82,?Spain,"Inditex,?Zara",Male,La Coruna,Fashion & Retail,,TRUE
2019,7,Larry Ellison,62.5?,74,?United States,Oracle Corporation,Male,Woodside,Technology,CTO and Founder,TRUE
2019,8,Mark Zuckerberg,62.3?,34,?United States,"Facebook, Inc.",Male,Palo Alto,Technology,Entrepreneur,TRUE
2019,9,Michael Bloomberg,55.5?,77,?United States,Bloomberg L.P.,Male,New York,Media & Entertainment,CEO,TRUE
2019,10,Larry Page,50.8?,45,?United States,Alphabet Inc.,Male,Palo Alto,Technology,Entrepreneur,TRUE
2018,1,Jeff Bezos,112?,54,?United States,Amazon,Male,Seattle,Technology,Entrepreneur,TRUE
2018,2,Bill Gates,90?,62,?United States,Microsoft,Male,Medina,Technology,Cofounder,TRUE
2018,3,Warren Buffett,84?,87,?United States,Berkshire Hathaway,Male,Omaha,Finance & Investments,CEO,TRUE
2018,4,Bernard Arnault,72?,69,?France,LVMH,Male,Paris,Fashion & Retail,Chairman and CEO,FALSE
2018,5,Mark Zuckerberg,71.00 ,33,?United States,"Facebook, Inc.",Male,Palo Alto,Technology,Entrepreneur,TRUE
2018,6,Amancio Ortega,70?,81,?Spain,"Inditex,?Zara",Male,La Coruna,Fashion & Retail,,TRUE
2018,7,Carlos Slim,67.1?,78,?Mexico,"Am¨¦rica M¨®vil,?Grupo Carso",Male,Mexico City,Telecom,Honorary Chairman,TRUE
2018,8,Charles Koch,60?,82,?United States,Koch Industries,Male,Wichita,Diversified,CEO,FALSE
2018,8,David Koch,60?,77,?United States,Koch Industries,Male,New York,Diversified,Executive Vice President,FALSE
2018,10,Larry Ellison,58.5?,73,?United States,Oracle Corporation,Male,Woodside,Technology,CTO and Founder,TRUE
2017,1,Bill Gates,86.0?,61,?United States,Microsoft,Male,Medina,Technology,Cofounder,TRUE
2017,2,Warren Buffett,75.6?,86,?United States,Berkshire Hathaway,Male,Omaha,Finance & Investments,CEO,TRUE
2017,3,Jeff Bezos,72.8?,53,?United States,Amazon,Male,Seattle,Technology,Entrepreneur,TRUE
2017,4,Amancio Ortega,71.3?,80,?Spain,"Inditex,?Zara",Male,La Coruna,Fashion & Retail,,TRUE
2017,5,Mark Zuckerberg,56.0?,32,?United States,"Facebook, Inc.",Male,Palo Alto,Technology,Entrepreneur,TRUE
2017,6,Carlos Slim,54.5?,77,?Mexico,"Am¨¦rica M¨®vil,?Grupo Carso",Male,Mexico City,Telecom,Honorary Chairman,TRUE
